"Produto","Proteina","Carboidratos","Gramas","Fibras","Calorias","Cluster"
"Cows' milk",0.13793103448275862,0.2033898305084746,0.9918581775955365,0,0.6653225806451613,"cluster_2"
"Milk skim",0.15517241379310345,0.22033898305084745,1,0,0.3629032258064516,"cluster_2"
"Buttermilk",0.03879310344827586,0.05508474576271186,0.24891688318825625,0,0.1280241935483871,"cluster_0"
"Evaporated, undiluted",0.06896551724137931,0.1016949152542373,0.2550232499916037,0,0.3477822580645161,"cluster_1"
"Fortified milk",0.38362068965517243,0.5042372881355932,0,0.005957446808510638,0.0013840725806451612,"cluster_0"
"Powdered milk",0.11637931034482758,0.1652542372881356,0.1033818077084739,0,0.5191532258064516,"cluster_1"
"skim, instant",0.12931034482758622,0.17796610169491525,0.08506270729843136,0,0.2923387096774194,"cluster_1"
"skim, non-instant",0.12931034482758622,0.17796610169491525,0.08506270729843136,0.00425531914893617,0.2923387096774194,"cluster_1"
"Goats' milk",0.034482758620689655,0.046610169491525424,0.24688142758714038,0,0.1663306451612903,"cluster_0"
"(1/2 cup ice cream)",0.10344827586206896,0.2966101694915254,0.5481288565522842,0,0.6955645161290323,"cluster_2"
"Cocoa",0.034482758620689655,0.11016949152542373,0.2550232499916037,0,0.23689516129032256,"cluster_1"
"skim. milk",0.07758620689655173,0.05508474576271186,0.25298779439048785,0.00425531914893617,0.12903225806451613,"cluster_0"
"(cornstarch)",0.03879310344827586,0.1694915254237288,0.250952338789372,0,0.2772177419354839,"cluster_1"
"Custard",0.05603448275862069,0.11864406779661017,0.250952338789372,0,0.2872983870967742,"cluster_1"
"Ice cream",0.02586206896551724,0.1228813559322034,0.18988867075589697,0,0.3024193548387097,"cluster_1"
"Ice milk",0.03879310344827586,0.13559322033898305,0.1919241263570128,0,0.2772177419354839,"cluster_1"
"Cream or half-and-half",0.017241379310344827,0.0211864406779661,0.12068318031795851,0,0.17137096774193547,"cluster_0"
"or whipping",0.008620689655172414,0.012711864406779662,0.11966545251740059,0.00425531914893617,0.4334677419354839,"cluster_1"
"Cheese",0.12931034482758622,0.025423728813559324,0.22754459937653995,0,0.24193548387096775,"cluster_1"
"uncreamed",0.16379310344827586,0.025423728813559324,0.22754459937653995,0,0.19657258064516128,"cluster_1"
"Cheddar",0.017241379310344827,0.0635593220338983,0.015857216860492924,0,0.07056451612903225,"cluster_0"
"Cheddar, grated cup",0.06034482758620689,0.00423728813559322,0.05554860108225174,0,0.22782258064516128,"cluster_0"
